,imagename,accuracy,F1,jaccard,preceision,recall
0,mask\faceMask1_ttt_100_0_1.jpg,0.9669647216796875,0.9644866558404278,0.9314092003548347,0.9368706182281709,0.9937802116080181
1,mask\faceMask1_ttt_117_1_2.jpg,0.9651947021484375,0.9536203005225595,0.9113520656018033,0.9354555608744216,0.9725044581760875
2,mask\faceMask1_ttt_136_1_2.jpg,0.95294189453125,0.9132245357343839,0.8403065451532725,0.855636401982495,0.979123929045493
3,mask\faceMask1_ttt_160_0_1.jpg,0.9346923828125,0.9231983921906403,0.8573523530195973,0.9188783711377032,0.92755922547146
4,mask\faceMask1_ttt_173_0_1.jpg,0.9802093505859375,0.9797562003465015,0.9603157604871034,0.9637954859511746,0.9962544438801422
5,mask\faceMask1_ttt_175_0_1.jpg,0.962554931640625,0.95483989694516,0.9135824206782407,0.9194102845802176,0.9931095203460552
6,mask\faceMask1_ttt_181_0_1.jpg,0.96917724609375,0.9642781353894037,0.9310203524108729,0.9411764705882353,0.9885424220449601
7,mask\faceMask1_ttt_184_0_1.jpg,0.957916259765625,0.953600269179004,0.9113154763818773,0.9209397543380776,0.9886625270355125
8,mask\faceMask1_ttt_196_1_2.jpg,0.97393798828125,0.9667600809590534,0.93565885632487,0.9439081857566315,0.9907459114479458
9,mask\faceMask1_ttt_212_0_1.jpg,0.961212158203125,0.9525657771972383,0.9094277773818855,0.9180964713499514,0.9897243010585909
10,mask\faceMask1_ttt_214_0_1.jpg,0.971038818359375,0.9670589052032351,0.9362188319107467,0.9586071637477205,0.9756610050779198
11,mask\faceMask1_ttt_226_1_2.jpg,0.965911865234375,0.9564963389936126,0.9166200126898817,0.92696459575753,0.9879716791375011
12,mask\faceMask1_ttt_236_1_2.jpg,0.929412841796875,0.9264359773551302,0.8629536364982966,0.8660581554379497,0.9958632478632479
13,mask\faceMask1_ttt_6302_0_1.jpg,0.9668121337890625,0.9489855752316173,0.9029234545860298,0.9108919807285335,0.9904043865661412
14,mask\faceMask1_ttt_6342_0_1.jpg,0.964996337890625,0.9607554658363843,0.9244748798314347,0.935251798561151,0.9876890608512136
15,mask\faceMask1_ttt_6371_1_2.jpg,0.95574951171875,0.9342731517156974,0.8766534813491557,0.8882903072878507,0.985276542855777
16,mask\faceMask1_ttt_6373_1_2.jpg,0.96466064453125,0.9541984732824428,0.9124087591240876,0.9260325502840473,0.9841315166843436
17,mask\faceMask1_ttt_6375_0_1.jpg,0.970977783203125,0.9612374663731965,0.9253678634490877,0.9389258271290362,0.9846352970648408
18,mask\faceMask1_ttt_6379_0_1.jpg,0.9667510986328125,0.959669806955524,0.9224665528038714,0.9280804754063149,0.993485342019544
19,mask\faceMask1_ttt_6391_0_1.jpg,0.9641265869140625,0.9509032055967421,0.9064017835814954,0.9291894539221288,0.9736560749262284
20,mask\faceMask1_ttt_6446_0_1.jpg,0.9551544189453125,0.9487809553685017,0.902553050397878,0.9127212982832618,0.9878070907573393
21,mask\faceMask1_ttt_6501_0_1.jpg,0.971649169921875,0.9674252252884042,0.936905732138006,0.9422814207650273,0.9939476907558181
22,mask\faceMask1_ttt_6513_1_2.jpg,0.9604644775390625,0.9538844887425468,0.9118347624880904,0.9214290626504367,0.9887097369294912
23,mask\faceMask1_ttt_6514_0_1.jpg,0.9680633544921875,0.9537059565150074,0.9115085405039743,0.9351116894382997,0.9730547030149846
24,mask\faceMask1_ttt_6567_0_1.jpg,0.944091796875,0.9538666868122183,0.9118022290157186,0.9203984935001822,0.9898607154989939
25,mask\faceMask1_ttt_6591_2_3.jpg,0.9657440185546875,0.956435681990181,0.916508609468556,0.9295764022481234,0.9848932939013668
26,mask\faceMask1_ttt_65_0_1.jpg,0.9593505859375,0.9358474208929344,0.8794297352342159,0.9144,0.9583251134346025
27,mask\faceMask1_ttt_7392_0_1.jpg,0.9722442626953125,0.9711191908927806,0.9438597574148946,0.9714430926590641,0.9707955050472986
28,mask\faceMask1_ttt_7448_0_1.jpg,0.97039794921875,0.9710611891762879,0.9437501812171997,0.9527837948597857,0.9900535344932474
29,mask\faceMask1_ttt_7467_0_1.jpg,0.9574127197265625,0.951212264233398,0.9069635654521817,0.9183205076279195,0.9865477355959245
30,mask\faceMask1_ttt_7545_0_1.jpg,0.969879150390625,0.9636544410075122,0.9298582240699286,0.9415002698327037,0.986876343477769
31,mask\faceMask1_ttt_7574_0_1.jpg,0.9503021240234375,0.9438593467206756,0.8936871654262959,0.917619063578778,0.9716445453900205
32,mask\faceMask1_ttt_7790_0_1.jpg,0.9535369873046875,0.9435452472328828,0.8931241444666737,0.901541186891054,0.9896546359676416
33,mask\faceMask1_ttt_7985_0_1.jpg,0.967315673828125,0.9557712161883131,0.9152890927786127,0.9294405847154733,0.9836372136512389
34,mask\faceMask1_ttt_82_0_1.jpg,0.9654693603515625,0.9629423420177838,0.9285330806884573,0.9344944855862442,0.9931765977570599
35,mask\faceMask1_ttt_83_0_1.jpg,0.96710205078125,0.9607514745503533,0.9244674887892377,0.9286971211374675,0.9950976695075043
36,mask\faceMask1_ttt_92_2_3.jpg,0.979339599609375,0.9755295308320683,0.9522280633666161,0.9720161348411727,0.9790684176159037
37,mask\faceMask1_ttt_96_2_3.jpg,0.9703826904296875,0.9726222548203732,0.946703643702463,0.9522731039054301,0.9938600789830215
38,mask\faceMsak_caiyilin_0_0_5.jpg,0.9580078125,0.9337442218798151,0.8757225433526011,0.8905625717566016,0.9813268559283437
39,mask\faceMsak_chenweiting_1_0_12.jpg,0.970733642578125,0.9621218105695551,0.927008410396925,0.9504096761607491,0.9741262097096697
40,mask\faceMsak_chenweiting_1_0_17.jpg,0.9336090087890625,0.9013490533953067,0.8204143965659567,0.9533790589476714,0.8547041623667011
41,mask\faceMsak_chenxiang_0_1_4.jpg,0.9696044921875,0.9445341649496017,0.8948979053448003,0.9170586645039199,0.9737068718066479
42,mask\faceMsak_chenxuedong_0_0_3.jpg,0.9541473388671875,0.9568637583796276,0.9172950955028348,0.9257284115212621,0.9901663695781343
43,mask\faceMsak_chenyanxi_1_0_13.jpg,0.6428680419921875,0.44203399527975784,0.283725058146652,0.8229185158885142,0.3021739838988299
44,mask\faceMsak_dengchao_0_0_7.jpg,0.976593017578125,0.9687767148381844,0.9394441812726986,0.9623908120349401,0.9752479304975002
45,mask\faceMsak_denglun_0_0_12.jpg,0.95953369140625,0.9519373663416578,0.9082828981497493,0.9217028146276409,0.9842227552091141
46,mask\faceMsak_dilireba_0_0_2a30011513926397f286f6b6107948f1.jpg,0.921844482421875,0.8742265003437776,0.7765562971687825,0.7843923504009871,0.9872989462007765
47,mask\faceMsak_duhaitao_1_0_19.jpg,0.95880126953125,0.8842394100497342,0.7924992314786351,0.8268120590121874,0.9502395871728714
48,mask\faceMsak_ganwei_0_0_0.jpg,0.968292236328125,0.9463520421335262,0.8981672057238067,0.9161251624512646,0.9786416061512174
49,mask\faceMsak_gaoyuanyuan_0_0_7.jpg,0.95269775390625,0.9314795986030678,0.8717471349964834,0.8859689694319471,0.9819190083414884
50,mask\faceMsak_guanxiaotong_0_0_8.jpg,0.959625244140625,0.9519450800915331,0.9082969432314411,0.9209037562809655,0.9851520505206179
51,mask\faceMsak_gulinazha_1_0_19.jpg,0.9416351318359375,0.8739329619986157,0.7760931920622841,0.7872454129802269,0.9820740740740741
52,mask\faceMsak_guofucheng_0_0_0.jpg,0.961181640625,0.9358450597669845,0.8794255651926631,0.9868106153273414,0.8898853772001343
53,mask\faceMsak_guojingfei_0_0_4.jpg,0.9538726806640625,0.9359601737104121,0.8796288922513339,0.8895824105021544,0.9874396567137493
54,mask\faceMsak_guoxiaofeng_0_0_4e2f9179ly3gbdq9xefr3j20zk0zke74.jpg,0.9643096923828125,0.9561434758967242,0.9159721224313838,0.9310911481156879,0.9825812170025819
55,mask\faceMsak_hanxue_0_0_0.jpg,0.9629669189453125,0.9534048802964271,0.910958652823128,0.9262160549089824,0.9822382214486333
56,mask\faceMsak_hanxue_0_0_10.jpg,0.9735260009765625,0.9716081100983488,0.9447839093628668,0.9638323431057433,0.9795103603009107
57,mask\faceMsak_hanxue_0_0_5.jpg,0.9686126708984375,0.9641406481529906,0.9307640525075732,0.9453370709695064,0.9837074454839743
58,mask\faceMsak_houminghao_0_0_0.jpg,0.96624755859375,0.96040950744559,0.9238344466634529,0.9356256102664249,0.9865421385497868
59,mask\faceMsak_houminghao_0_0_12.jpg,0.967498779296875,0.9610645998610756,0.9250475051023999,0.9400657988842798,0.9830229601376113
60,mask\faceMsak_houminghao_0_0_14.jpg,0.9595184326171875,0.9474747074778752,0.9001918663707159,0.9167464848090111,0.9803343166175025
61,mask\faceMsak_houminghao_0_0_47.jpg,0.961700439453125,0.9495091728355327,0.9038719313699207,0.9220941590154327,0.9786043040179127
62,mask\faceMsak_huangbo_0_0_2.jpg,0.96380615234375,0.9516628627323117,0.9077832205893788,0.9168368148264489,0.9892391120149128
63,mask\faceMsak_huangjingyu_1_0_7.jpg,0.9633331298828125,0.949494524895437,0.9038453843383618,0.9179501767789653,0.9832839979104997
64,mask\faceMsak_huangjingyu_1_0_9.jpg,0.974639892578125,0.9616378912381128,0.9261103454408038,0.940451467268623,0.9838008878813639
65,mask\faceMsak_huanglei_1_1_7.jpg,0.9855499267578125,0.9865477222040712,0.973452567840323,0.981126211397734,0.9920294823448749
66,mask\faceMsak_huangtingting_0_0_24.jpg,0.970184326171875,0.9574940178377201,0.918454219180369,0.9785247432306255,0.937348268665616
67,mask\faceMsak_huangzongze_1_0_2.jpg,0.9630889892578125,0.952523012305941,0.9093498219973768,0.9286643704554153,0.9776399016961443
68,mask\faceMsak_huojianhua_0_0_3.jpg,0.9595794677734375,0.942456826327794,0.8911757456248459,0.9096360281784636,0.9777347095145806
69,mask\faceMsak_huyanbin_0_0_1.jpg,0.9602813720703125,0.9463287902843357,0.898125317991468,0.9112858390914145,0.9841746365312862
70,mask\faceMsak_jialing_0_0_0.jpg,0.9600677490234375,0.9581608019312858,0.9196820427830463,0.9400213313256791,0.9770141175703433
71,mask\faceMsak_jialing_0_1_1.jpg,0.9689788818359375,0.9642988848889279,0.9310590389636814,0.9528039977790117,0.9760745138469196
72,mask\faceMsak_jianailiang_1_0_1.jpg,0.9725341796875,0.9620669307932226,0.9269065215625761,0.960892443696064,0.9632442925264801
73,mask\faceMsak_jiangjinfu_0_0_2.jpg,0.9682464599609375,0.90262505264143,0.8225311274091762,0.8453111305872042,0.9682762774821805
74,mask\faceMsak_jiangkaitong_0_0_10.jpg,0.9577178955078125,0.932701882210079,0.8738906840212989,0.92455101352978,0.9409977457610507
75,mask\faceMsak_jiangkaitong_0_0_4.jpg,0.963104248046875,0.9400119083060434,0.886813649768291,0.89850604695281,0.9855381574155959
76,mask\faceMsak_jiangminhe_0_0_27.jpg,0.9549102783203125,0.9243064627680013,0.8592656093727675,0.8731549145816193,0.9818241184153244
77,mask\faceMsak_jiangxin_0_0_006LvDhLly1g790l62wozj30hs0pl0us.jpg,0.9762725830078125,0.9740638812442666,0.9494391155909608,0.9765233094776269,0.9716168103018001
78,mask\faceMsak_jiangxin_0_0_006LvDhLly1g790l6riuhj30hs0pntab.jpg,0.9512786865234375,0.9346058533188605,0.8772395232602845,0.9332106339468302,0.9360052508512122
79,mask\faceMsak_jiangxin_0_0_12.jpg,0.972625732421875,0.9658129430596843,0.9338861249309011,0.9454538671044286,0.9870681260468196
80,mask\faceMsak_jinchen_0_0_4.jpg,0.9553680419921875,0.9328805158447876,0.8742043695166007,0.8988282113641388,0.9696145773707308
81,mask\faceMsak_jingtian_0_0_16.jpg,0.95953369140625,0.9309231089810377,0.8707728291589514,0.915330635660503,0.947056017806985
82,mask\faceMsak_jingtian_1_0_7.jpg,0.954498291015625,0.9462450877888742,0.8979745449568907,0.9595642000584966,0.9332906621150701
83,mask\faceMsak_jinyubin_0_0_0.jpg,0.9560394287109375,0.9332653864862986,0.8748805697906714,0.8913322419361975,0.9793388429752066
84,mask\faceMsak_jinzhongguo_0_0_8.jpg,0.972930908203125,0.9606791382214735,0.9243335465984218,0.9548378568910821,0.966592328278323
85,mask\faceMsak_likeqiang_1_0_2.jpg,0.96417236328125,0.9445912780819332,0.8950004471871925,0.9119657340745466,0.979637787567303
86,mask\faceMsak_lilianjie_1_1_19.jpg,0.979248046875,0.96156672130221,0.9259783377782616,0.9387518622744578,0.9855181602270753
87,mask\faceMsak_liminhao_0_1_8.jpg,0.9812469482421875,0.9817246353105623,0.9641052600835305,0.9718542071483248,0.9917976143977406
88,mask\faceMsak_lingengxin_0_0_5.jpg,0.96533203125,0.939016534249517,0.885043513458814,0.8895895844988049,0.9942590803160348
89,mask\faceMsak_linjunjie_0_0_1.jpg,0.963836669921875,0.9507030534986272,0.906038139793046,0.9196008208925194,0.9839827771797632
90,mask\faceMsak_linyoujia_0_0_9.jpg,0.95965576171875,0.9510859510859512,0.9067339235951886,0.9303293521534564,0.9727898879806237
91,mask\faceMsak_linyoujia_0_1_0.jpg,0.9691314697265625,0.9510607929941699,0.9066881918819188,0.9121154470790218,0.9934802385525119
92,mask\faceMsak_linzhiling_1_0_14.jpg,0.9794158935546875,0.962399308749338,0.9275237737065491,0.9393840461421264,0.9865706611806389
